episode,total_reward,steps,overloads_total,max_severity,avg_util_mean,power_shed_est,alpha,critic_loss_mean,actor_loss_mean,total_steps
1,30167.00,8759,16532,5.2592,0.2486,8749338.4,1.00000,0.000000,0.000000,8759
2,5629.02,8759,147388,38.3737,0.2788,30573119.9,1.04491,8659.425142,68.606826,17518
3,-8661.28,8759,222511,32.5388,0.2972,43755338.5,2.01679,31.508724,189.184690,26277
4,-8369.21,8759,220050,29.9207,0.2950,43778185.7,4.82310,172.243771,463.152447,35036
5,-8576.44,8759,221780,39.6121,0.2968,43753795.5,11.53737,980.287177,1108.781826,43795
6,-8557.38,8759,221777,34.1720,0.2964,43782313.0,27.61216,5603.070940,2653.515343,52554
7,-8715.00,8759,222080,28.7568,0.2972,43808858.5,66.11545,33092.998444,6318.911108,61313
8,-8657.90,8759,222791,31.7555,0.2971,43801359.5,158.27046,186278.997174,15062.917519,70072
9,-8477.13,8759,220750,34.5554,0.2953,43820517.4,378.98627,1090718.417619,35963.081119,78831
